Web Search interest: inflation
United States; 2004 - present

Interest over time
Week,inflation
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for inflation
City,inflation
Washington,100
Pittsburgh,95
Boston,91
New York,82
Columbus,81
Portland,78
Minneapolis,77
Austin,77
San Diego,74
Philadelphia,74
San Jose,73
Seattle,70
San Francisco,70
St. Louis,69
Denver,67



Top searches for inflation
inflation rate,100
inflation calculator,80
rate of inflation,35
what is inflation,35
inflation us,35
inflation rates,25
gdp,15
inflation definition,15
real inflation,15
us inflation rate,15
inflation index,15
cpi,10
cpi inflation,10
cost of inflation,10
average inflation,10
current inflation rate,10
unemployment rate,10
interest rates,10
real inflation rate,10
belly inflation,10
calculate inflation,10
annual inflation,10
inflation history,5
inflation and unemployment,5
deflation,5
definition of inflation,5
2011 inflation,5
inflation rate calculator,5
inflation chart,5
federal reserve,5
average inflation rate,5
define inflation,5
inflation formula,5
annual inflation rate,5
grade inflation,5
body inflation,5
minimum wage inflation,5
real gdp,5
calculate inflation rate,5
consumer price index,5
monetary policy,5
inflation data,5
inflation protected securities,5
breast inflation,5
food inflation,5
inflation theory,5
causes of inflation,5
us inflation rates,5
fiscal policy,5
inflation rate formula,5



Rising searches for inflation
2011 inflation,Breakout
calculate inflation,+300%
define inflation,+250%
real inflation rate,+200%
what is inflation,+190%
inflation definition,+180%
definition of inflation,+150%
deflation,+150%
belly inflation,+120%
inflation calculator,+110%



