"","from","to","data","from_year","to_year","from_month","to_month","from_day","to_day"
"423",2012-02-12,2012-02-18,25,2012,2012,2,2,12,18
"424",2012-02-19,2012-02-25,25,2012,2012,2,2,19,25
"425",2012-02-26,2012-03-03,38,2012,2012,2,3,26,3
"426",2012-03-04,2012-03-10,31,2012,2012,3,3,4,10
"427",2012-03-11,2012-03-17,22,2012,2012,3,3,11,17
"428",2012-03-18,2012-03-24,32,2012,2012,3,3,18,24
"429",2012-03-25,2012-03-31,43,2012,2012,3,3,25,31
"430",2012-04-01,2012-04-07,31,2012,2012,4,4,1,7
"431",2012-04-08,2012-04-14,18,2012,2012,4,4,8,14
"432",2012-04-15,2012-04-21,24,2012,2012,4,4,15,21
"433",2012-04-22,2012-04-28,19,2012,2012,4,4,22,28
"434",2012-04-29,2012-05-05,30,2012,2012,4,5,29,5
"435",2012-05-06,2012-05-12,28,2012,2012,5,5,6,12
"436",2012-05-13,2012-05-19,45,2012,2012,5,5,13,19
"437",2012-05-20,2012-05-26,34,2012,2012,5,5,20,26
"438",2012-05-27,2012-06-02,29,2012,2012,5,6,27,2
"439",2012-06-03,2012-06-09,13,2012,2012,6,6,3,9
"440",2012-06-10,2012-06-16,46,2012,2012,6,6,10,16
"441",2012-06-17,2012-06-23,22,2012,2012,6,6,17,23
"442",2012-06-24,2012-06-30,32,2012,2012,6,6,24,30
"443",2012-07-01,2012-07-07,31,2012,2012,7,7,1,7
"444",2012-07-08,2012-07-14,24,2012,2012,7,7,8,14
"445",2012-07-15,2012-07-21,25,2012,2012,7,7,15,21
"446",2012-07-22,2012-07-28,32,2012,2012,7,7,22,28
"447",2012-07-29,2012-08-04,43,2012,2012,7,8,29,4
"448",2012-08-05,2012-08-11,36,2012,2012,8,8,5,11
"449",2012-08-12,2012-08-18,39,2012,2012,8,8,12,18
"450",2012-08-19,2012-08-25,27,2012,2012,8,8,19,25
"451",2012-08-26,2012-09-01,29,2012,2012,8,9,26,1
"452",2012-09-02,2012-09-08,35,2012,2012,9,9,2,8
"453",2012-09-09,2012-09-15,43,2012,2012,9,9,9,15
"454",2012-09-16,2012-09-22,49,2012,2012,9,9,16,22
"455",2012-09-23,2012-09-29,32,2012,2012,9,9,23,29
"456",2012-09-30,2012-10-06,38,2012,2012,9,10,30,6
"457",2012-10-07,2012-10-13,45,2012,2012,10,10,7,13
"458",2012-10-14,2012-10-20,26,2012,2012,10,10,14,20
"459",2012-10-21,2012-10-27,37,2012,2012,10,10,21,27
"460",2012-10-28,2012-11-03,33,2012,2012,10,11,28,3
"461",2012-11-04,2012-11-10,49,2012,2012,11,11,4,10
"462",2012-11-11,2012-11-17,36,2012,2012,11,11,11,17
"463",2012-11-18,2012-11-24,26,2012,2012,11,11,18,24
"464",2012-11-25,2012-12-01,26,2012,2012,11,12,25,1
"465",2012-12-02,2012-12-08,25,2012,2012,12,12,2,8
"466",2012-12-09,2012-12-15,26,2012,2012,12,12,9,15
"467",2012-12-16,2012-12-22,31,2012,2012,12,12,16,22
"468",2012-12-23,2012-12-29,27,2012,2012,12,12,23,29
"469",2012-12-30,2013-01-05,27,2012,2013,12,1,30,5
"470",2013-01-06,2013-01-12,27,2013,2013,1,1,6,12
"471",2013-01-13,2013-01-19,31,2013,2013,1,1,13,19
"472",2013-01-20,2013-01-26,21,2013,2013,1,1,20,26
"473",2013-01-27,2013-02-02,15,2013,2013,1,2,27,2
"474",2013-02-03,2013-02-09,20,2013,2013,2,2,3,9
"475",2013-02-10,2013-02-16,38,2013,2013,2,2,10,16
"476",2013-02-17,2013-02-23,12,2013,2013,2,2,17,23
"477",2013-02-24,2013-03-02,17,2013,2013,2,3,24,2
"478",2013-03-03,2013-03-09,28,2013,2013,3,3,3,9
"479",2013-03-10,2013-03-16,24,2013,2013,3,3,10,16
"480",2013-03-17,2013-03-23,28,2013,2013,3,3,17,23
"481",2013-03-24,2013-03-30,26,2013,2013,3,3,24,30
"482",2013-03-31,2013-04-06,29,2013,2013,3,4,31,6
"483",2013-04-07,2013-04-13,24,2013,2013,4,4,7,13
"484",2013-04-14,2013-04-20,26,2013,2013,4,4,14,20
"485",2013-04-21,2013-04-27,14,2013,2013,4,4,21,27
"486",2013-04-28,2013-05-04,31,2013,2013,4,5,28,4
"487",2013-05-05,2013-05-11,49,2013,2013,5,5,5,11
"488",2013-05-12,2013-05-18,38,2013,2013,5,5,12,18
"489",2013-05-19,2013-05-25,30,2013,2013,5,5,19,25
"490",2013-05-26,2013-06-01,33,2013,2013,5,6,26,1
"491",2013-06-02,2013-06-08,23,2013,2013,6,6,2,8
"492",2013-06-09,2013-06-15,28,2013,2013,6,6,9,15
"493",2013-06-16,2013-06-22,19,2013,2013,6,6,16,22
"494",2013-06-23,2013-06-29,29,2013,2013,6,6,23,29
"495",2013-06-30,2013-07-06,18,2013,2013,6,7,30,6
"496",2013-07-07,2013-07-13,28,2013,2013,7,7,7,13
"497",2013-07-14,2013-07-20,10,2013,2013,7,7,14,20
"498",2013-07-21,2013-07-27,9,2013,2013,7,7,21,27
"499",2013-07-28,2013-08-03,12,2013,2013,7,8,28,3
"500",2013-08-04,2013-08-10,30,2013,2013,8,8,4,10
"501",2013-08-11,2013-08-17,27,2013,2013,8,8,11,17
"502",2013-08-18,2013-08-24,26,2013,2013,8,8,18,24
"503",2013-08-25,2013-08-31,19,2013,2013,8,8,25,31
"504",2013-09-01,2013-09-07,13,2013,2013,9,9,1,7
"505",2013-09-08,2013-09-14,7,2013,2013,9,9,8,14
"506",2013-09-15,2013-09-21,14,2013,2013,9,9,15,21
"507",2013-09-22,2013-09-28,27,2013,2013,9,9,22,28
"508",2013-09-29,2013-10-05,14,2013,2013,9,10,29,5
"509",2013-10-06,2013-10-12,17,2013,2013,10,10,6,12
"510",2013-10-13,2013-10-19,29,2013,2013,10,10,13,19
"511",2013-10-20,2013-10-26,25,2013,2013,10,10,20,26
"512",2013-10-27,2013-11-02,31,2013,2013,10,11,27,2
"513",2013-11-03,2013-11-09,17,2013,2013,11,11,3,9
"514",2013-11-10,2013-11-16,16,2013,2013,11,11,10,16
"515",2013-11-17,2013-11-23,24,2013,2013,11,11,17,23
"516",2013-11-24,2013-11-30,14,2013,2013,11,11,24,30
"517",2013-12-01,2013-12-07,12,2013,2013,12,12,1,7
"518",2013-12-08,2013-12-14,11,2013,2013,12,12,8,14
"519",2013-12-15,2013-12-21,10,2013,2013,12,12,15,21
"520",2013-12-22,2013-12-28,10,2013,2013,12,12,22,28
"521",2013-12-29,2014-01-04,10,2013,2014,12,1,29,4
"522",2014-01-05,2014-01-11,10,2014,2014,1,1,5,11
"523",2014-01-12,2014-01-18,7,2014,2014,1,1,12,18
"524",2014-01-19,2014-01-25,15,2014,2014,1,1,19,25
"525",2014-01-26,2014-02-01,15,2014,2014,1,2,26,1
"526",2014-02-02,2014-02-08,18,2014,2014,2,2,2,8
"527",2014-02-09,2014-02-15,19,2014,2014,2,2,9,15
"528",2014-02-16,2014-02-22,20,2014,2014,2,2,16,22
"529",2014-02-23,2014-03-01,13,2014,2014,2,3,23,1
"530",2014-03-02,2014-03-08,19,2014,2014,3,3,2,8
"531",2014-03-09,2014-03-15,9,2014,2014,3,3,9,15
"532",2014-03-16,2014-03-22,20,2014,2014,3,3,16,22
"533",2014-03-23,2014-03-29,22,2014,2014,3,3,23,29
"534",2014-03-30,2014-04-05,15,2014,2014,3,4,30,5
"535",2014-04-06,2014-04-12,19,2014,2014,4,4,6,12
"536",2014-04-13,2014-04-19,9,2014,2014,4,4,13,19
"537",2014-04-20,2014-04-26,6,2014,2014,4,4,20,26
"538",2014-04-27,2014-05-03,11,2014,2014,4,5,27,3
"539",2014-05-04,2014-05-10,18,2014,2014,5,5,4,10
"540",2014-05-11,2014-05-17,16,2014,2014,5,5,11,17
"541",2014-05-18,2014-05-24,31,2014,2014,5,5,18,24
"542",2014-05-25,2014-05-31,14,2014,2014,5,5,25,31
"543",2014-06-01,2014-06-07,25,2014,2014,6,6,1,7
"544",2014-06-08,2014-06-14,13,2014,2014,6,6,8,14
"545",2014-06-15,2014-06-21,17,2014,2014,6,6,15,21
"546",2014-06-22,2014-06-28,14,2014,2014,6,6,22,28
"547",2014-06-29,2014-07-05,15,2014,2014,6,7,29,5
"548",2014-07-06,2014-07-12,12,2014,2014,7,7,6,12
"549",2014-07-13,2014-07-19,12,2014,2014,7,7,13,19
"550",2014-07-20,2014-07-26,15,2014,2014,7,7,20,26
"551",2014-07-27,2014-08-02,19,2014,2014,7,8,27,2
"552",2014-08-03,2014-08-09,17,2014,2014,8,8,3,9
"553",2014-08-10,2014-08-16,26,2014,2014,8,8,10,16
"554",2014-08-17,2014-08-23,18,2014,2014,8,8,17,23
"555",2014-08-24,2014-08-30,17,2014,2014,8,8,24,30
"556",2014-08-31,2014-09-06,15,2014,2014,8,9,31,6
"557",2014-09-07,2014-09-13,27,2014,2014,9,9,7,13
"558",2014-09-14,2014-09-20,23,2014,2014,9,9,14,20
"559",2014-09-21,2014-09-27,26,2014,2014,9,9,21,27
"560",2014-09-28,2014-10-04,15,2014,2014,9,10,28,4
"561",2014-10-05,2014-10-11,14,2014,2014,10,10,5,11
"562",2014-10-12,2014-10-18,12,2014,2014,10,10,12,18
"563",2014-10-19,2014-10-25,18,2014,2014,10,10,19,25
"564",2014-10-26,2014-11-01,21,2014,2014,10,11,26,1
"565",2014-11-02,2014-11-08,17,2014,2014,11,11,2,8
"566",2014-11-09,2014-11-15,11,2014,2014,11,11,9,15
"567",2014-11-16,2014-11-22,15,2014,2014,11,11,16,22
"568",2014-11-23,2014-11-29,10,2014,2014,11,11,23,29
"569",2014-11-30,2014-12-06,9,2014,2014,11,12,30,6
"570",2014-12-07,2014-12-13,8,2014,2014,12,12,7,13
"571",2014-12-14,2014-12-20,8,2014,2014,12,12,14,20
"572",2014-12-21,2014-12-27,9,2014,2014,12,12,21,27
"573",2014-12-28,2015-01-03,11,2014,2015,12,1,28,3
"574",2015-01-04,2015-01-10,12,2015,2015,1,1,4,10
"575",2015-01-11,2015-01-17,13,2015,2015,1,1,11,17
"576",2015-01-18,2015-01-24,11,2015,2015,1,1,18,24
"577",2015-01-25,2015-01-31,14,2015,2015,1,1,25,31
"578",2015-02-01,2015-02-07,15,2015,2015,2,2,1,7
"579",2015-02-08,2015-02-14,12,2015,2015,2,2,8,14
"580",2015-02-15,2015-02-21,14,2015,2015,2,2,15,21
"581",2015-02-22,2015-02-28,15,2015,2015,2,2,22,28
"582",2015-03-01,2015-03-07,17,2015,2015,3,3,1,7
"583",2015-03-08,2015-03-14,35,2015,2015,3,3,8,14
"584",2015-03-15,2015-03-21,35,2015,2015,3,3,15,21
"585",2015-03-22,2015-03-28,16,2015,2015,3,3,22,28
"586",2015-03-29,2015-04-04,15,2015,2015,3,4,29,4
"587",2015-04-05,2015-04-11,19,2015,2015,4,4,5,11
"588",2015-04-12,2015-04-18,23,2015,2015,4,4,12,18
"589",2015-04-19,2015-04-25,20,2015,2015,4,4,19,25
"590",2015-04-26,2015-05-02,27,2015,2015,4,5,26,2
"591",2015-05-03,2015-05-09,20,2015,2015,5,5,3,9
"592",2015-05-10,2015-05-16,29,2015,2015,5,5,10,16
"593",2015-05-17,2015-05-23,28,2015,2015,5,5,17,23
"594",2015-05-24,2015-05-30,18,2015,2015,5,5,24,30
"595",2015-05-31,2015-06-06,10,2015,2015,5,6,31,6
"596",2015-06-07,2015-06-13,25,2015,2015,6,6,7,13
"597",2015-06-14,2015-06-20,26,2015,2015,6,6,14,20
"598",2015-06-21,2015-06-27,10,2015,2015,6,6,21,27
"599",2015-06-28,2015-07-04,23,2015,2015,6,7,28,4
"600",2015-07-05,2015-07-11,17,2015,2015,7,7,5,11
"601",2015-07-12,2015-07-18,10,2015,2015,7,7,12,18
"602",2015-07-19,2015-07-25,17,2015,2015,7,7,19,25
"603",2015-07-26,2015-08-01,20,2015,2015,7,8,26,1
"604",2015-08-02,2015-08-08,25,2015,2015,8,8,2,8
"605",2015-08-09,2015-08-15,17,2015,2015,8,8,9,15
"606",2015-08-16,2015-08-22,19,2015,2015,8,8,16,22
"607",2015-08-23,2015-08-29,17,2015,2015,8,8,23,29
"608",2015-08-30,2015-09-05,20,2015,2015,8,9,30,5
"609",2015-09-06,2015-09-12,15,2015,2015,9,9,6,12
"610",2015-09-13,2015-09-19,25,2015,2015,9,9,13,19
"611",2015-09-20,2015-09-26,8,2015,2015,9,9,20,26
"612",2015-09-27,2015-10-03,8,2015,2015,9,10,27,3
"613",2015-10-04,2015-10-10,12,2015,2015,10,10,4,10
"614",2015-10-11,2015-10-17,12,2015,2015,10,10,11,17
"615",2015-10-18,2015-10-24,15,2015,2015,10,10,18,24
"616",2015-10-25,2015-10-31,23,2015,2015,10,10,25,31
"617",2015-11-01,2015-11-07,11,2015,2015,11,11,1,7
"618",2015-11-08,2015-11-14,9,2015,2015,11,11,8,14
"619",2015-11-15,2015-11-21,8,2015,2015,11,11,15,21
"620",2015-11-22,2015-11-28,23,2015,2015,11,11,22,28
"621",2015-11-29,2015-12-05,2,2015,2015,11,12,29,5
